E_COLI,COLI_FEC,pH_CAMPO,TEMP_AGUA,COT,DBO_TOT,DQO_TOT,N_TOT,P_TOT,COLOR_VER,TRANSPARENCIA,ABS_UV,SST,TURBIEDAD,AS_TOT,HG_TOT,PB_TOT,DUR_TOT,CONDUC_CAMPO,OD_.,SEMAFORO
0,0,8.766666667,25,1,1,0,1,1,40,0.3,0.18172,1,14,1,1,1,86.68,423.3333333,58.33333333,1
1,0,8.766666667,25,1,1,0,1,1,50,0.39,0.20972,1,18,1,1,1,124.48,338.3333333,77.83333333,1
0,0,8.766666667,25,1,1,0,1,1,50,0.15,0.17507,1,21,1,1,1,77.66,423.3333333,58.33333333,1
0,0,8.766666667,25,1,1,0,1,1,40,0.18,0.1656,1,10,1,1,1,127.86,423.3333333,67.76666667,1
0,0,8.766666667,25,1,1,0,1,1,70,0.15,0.13769,1,45,1,0,1,70.83,423.3333333,87.73333333,1
0,0,7.866666667,24,1,1,1,1,1,60,0.25,0.14317,1,24,1,1,1,70.33,595,74.7,0
0,0,8.766666667,25,1,0,0,1,1,50,0.15,0.17181,1,10,1,1,1,102.39,423.3333333,67.76666667,1
0,0,7.766666667,24,1,1,1,1,1,250,0.25,0.24693,1,70,1,1,1,51.89,595,74.7,0
1,0,8.766666667,25,1,1,0,1,1,30,0.08,0.20972,1,17,1,1,1,93.52,338.3333333,77.83333333,1
1,1,8.933333333,25,1,1,0,1,1,50,0.29,0.29078,1,4.6,1,1,1,30.73,158.3333333,96.63333333,1
1,1,8.633333333,24,1,1,1,1,1,13,0.02,0.16063,1,2.5,1,1,1,30.93,171.3333333,71.16666667,0
1,1,8.633333333,25,1,1,1,1,1,30,0.02,0.23119,1,2.5,1,1,1,28.33,138.95,94.56666667,0
1,1,8.633333333,24,1,1,1,1,1,30,0.02,0.2168,1,3.7,1,1,1,28.13,138.95,94.56666667,0
1,1,8.633333333,24,1,1,1,1,1,5,0.21,0.17057,1,2.5,1,1,1,26.1,138.95,71.16666667,0
1,1,8.633333333,24,1,1,1,1,1,25,0.02,0.19523,1,7.1,1,1,1,40.83,138.95,94.56666667,0
1,1,8,24,1,1,1,1,1,60,0.02,0.3312,1,18,1,1,1,31.84,134.3,74.5,0
1,1,6,22,1,1,0,1,1,5,0.93,0.34814,1,7.8,1,1,1,36.14,140,74.53333333,1
1,1,8.163333333,27,1,1,1,1,1,200,0.15,0.009,1,90,1,0,1,179.8868,128,90.76666667,0
1,1,8.5,24,1,1,1,1,1,25,0.12,0.009,0,100,1,1,1,107.6112,172.3333333,71.16666667,0
1,0,8.266666667,27,1,1,1,1,1,150,0.2,0.269,1,87.5,1,0,1,61.224,109.3333333,90.36666667,0
1,1,7.866666667,28,1,1,0,1,1,400,0.4,0.382,1,30,1,1,1,59,158.7666667,59.13333333,1
1,1,8.4,26,1,1,0,1,1,100,1,0.314,1,31,1,1,1,52,149.5,87.73333333,1
1,1,8.633333333,24,1,1,1,1,1,70,0.6,0.254,1,18,1,1,1,50.05,134.3,94.56666667,0
1,1,7.8,27,1,1,1,1,1,75,0.9,0.34608,1,17,1,1,1,47.95,100.2,74.5,0
1,1,8,27,1,1,1,1,1,100,0.8,0.38659,1,17,1,1,1,35.47,106.0333333,90.86666667,0
1,1,8.566666667,24,1,1,1,1,1,60,0.1,0.3312,1,21,1,1,1,39.21,134.3,74.5,0
1,1,8.933333333,25,1,1,0,1,1,25,0.29,0.17931,1,4.3,1,1,1,58.09,158.3333333,96.63333333,1
