TIPO CUERPO DE AGUA,TOX_V_15_UT (NORMAL),E_COLI,COLI_FEC,pH_CAMPO,TEMP_AGUA,COT,DBO_TOT,DQO_TOT,N_TOT,P_TOT,COLOR_VER,ABS_UV,SST,TURBIEDAD,AS_TOT,HG_TOT,PB_TOT,DUR_TOT,CONDUC_CAMPO,OD_%
LÓTICO,1,0,0,7.3,17.8,0,0,0,0,0,350,1.248,0,135,0,0,0,280.1,1869,10
LÓTICO,,0,0,7.1,21.8,0,0,0,0,0,400,1.299,0,165,1,1,0,305.79,2370,10
LÓTICO,1,0,0,7.1,25.9,0,0,0,0,0,300,0.473,0,220,0,1,0,369.86,2670,10
LÓTICO,0,0,0,7.1,21,0,0,0,0,0,200,1.647,0,450,0,1,1,289.4,1704,10
LÓTICO,1,0,0,7.2,23.3,1,0,0,0,1,300,1.425,0,32,1,1,1,239.45,1513,18.4
LÓTICO,1,0,0,7.3,20.9,0,0,0,0,0,250,1.836,1,50,1,1,1,238.55,2091,10
LÓTICO,1,0,,7.4,13.3,0,0,0,0,0,300,1.027,0,190,1,0,1,274.725,1631,17.6
LÓTICO,1,0,0,7.1,18.7,,,,0,0,600,0.442,0,160,0,1,1,280.459,1805,10
LÓTICO,1,0,0,7.4,21.1,0,0,0,0,1,300,0.168,0,80,0,1,1,287.1,1972,10
LÓTICO,1,0,0,7.6,23.1,0,0,0,0,1,250,0.072,0,85,0,1,1,52.619,649,10
LÓTICO,0,0,0,7.7,18,0,0,0,0,1,500,0.878,1,90,1,1,1,255.49,1541,10
LÓTICO,0,0,0,7.9,11.5,0,0,0,0,0,2500,1.087,1,100,0,1,1,263.231,1504,17.2
LÓTICO,1,0,0,7.6,13.1,0,0,0,0,1,250,1.483,1,110,0,1,1,211.89,1337,25.4
LÓTICO,1,0,0,7.2,23.2,1,0,0,0,1,250,0.981,0,55,1,1,1,147.583,1188,10
LÓTICO,1,0,0,7.9,20.6,0,0,0,0,1,300,,1,45,0,1,1,209.774,1283,24.6
LÓTICO,1,0,0,8.97,24.5,1,0,0,0,1,250,0.009,0,27.5,0,0,1,252.096,1524,
LÓTICO,1,0,0,8.85,19.2,1,1,0,1,1,200,0.009,1,25,0,0,1,256.0824,1272,150
LÓTICO,0,0,0,7.6,24.3,0,0,0,0,1,150,0.0136,1,95,1,1,1,245.5696,1731,12
LÓTICO,1,0,0,7.48,22,1,1,0,1,1,250,0.0127,0,120,1,1,1,138.2346,632,10
LÓTICO,1,0,0,8.05,22.4,1,1,0,1,1,312.5,0.0838,1,15,1,1,0,296.385,1221,19.6
LÓTICO,1,0,0,7.2,19.7,1,0,0,1,1,375,0.558,0,105,1,0,1,136.058,573,12
LÓTICO,1,0,0,8.14,17,0,0,0,0,1,200,0.098,1,53,0,0,1,210.738,1356,12
LÓTICO,1,0,0,7.84,24,1,0,0,0,1,50,0.244,0,13,1,0,1,302.36,1592,45.1
LÓTICO,,0,0,8,23.5,0,0,0,0,1,125,0.601,1,235,1,0,1,281.3,2021,13.2
LÓTICO,1,0,0,7.3,23.8,1,0,0,1,1,150,,1,65,0,1,1,135.1,878,13.6
